,titles,released,developers,publishers,genres
3587,Versailles 1685,1997,Cryo Interactive,Cryo Interactive,Adventure
3588,Versailles II: Testament of the King,2001,Cryo Interactive Entertainment,Reunion des Musees Nationaux,Adventure
3589,Victoria: An Empire Under the Sun,2003,Paradox Interactive,Paradox Interactive,Strategy
3590,Victoria: Revolutions,2006,Paradox Interactive,Paradox Interactive,Strategy
3591,Victoria II,2010,Paradox Interactive,Paradox Interactive,"Simulator, Sport"
3592,Vietcong,2003,Pterodon,Gathering of Developers,Shooter
3593,Vietcong: Fist Alpha,2004,"Pterodon, Illusion Softworks",Gathering of Developers,Shooter
3594,Vietcong 2,2005,"Pterodon, Illusion Softworks",2K Games,"Shooter, Tactical"
3595,Vigil: Blood Bitterness,2006,Freegamer,Microapplication,"Role-playing (RPG), Adventure, Indie"
3596,Vigilance,1998,Tsunami,SegaSoft,"Role-playing (RPG), Strategy"
3597,Vikings,1998,Index+,France Telecom Multimedia,Indie
3598,Viper Racing,1998,Monster Games,Sierra Entertainment,"Racing, Simulator"
3599,Virtua Cop,1994,Sega-AM2,Sega,Shooter
3600,Virtua Cop 2,1995,Sega-AM2,Sega,Shooter
3601,Virtua Fighter,1993,"Sega-AM2, Sega-AM1",Sega,Fighting
3602,Virtua Fighter 2,1994,Sega-AM2,Sega,"Fighting, Arcade"
3603,Virtua Tennis,1999,Sega-AM3,Sega,Sport
3604,Virtua Tennis 3,2006,Sumo Digital,SEGA,Sport
3605,Virtua Tennis 2009,2009,Sumo Digital,Sega,"Simulator, Sport"
3606,Virtual On: Cyber Troopers,1995,Sega-AM3,Sega,"Fighting, Arcade"
3607,Virtual Pool,1995,Celeris,Interplay Entertainment,"Simulator, Sport"
3608,Virtual Pool 2,1997,Celeris,VR Sports,"Simulator, Sport"
3609,Virtual Pool 3,2001,"Celeris, Digital Mayhem",Interplay Entertainment,Sport
3610,Virtual Villagers,2006,Last Day of Work,Last Day of Work,Simulator
3611,Vivisector: Beast Within,2006,Action Forms,1C Company,Shooter
3612,The Void,2008,Ice-Pick Lodge,ND Games,Strategy
3613,Volta-X,2020,GungHo Online Entertainment,GungHo Online Entertainment,"Simulator, Strategy, Indie"
3614,WALL-E,2008,"Heavy Iron Studios, Asobo Studio, Savage Entertainment","Disney Interactive Studios, THQ","Platform, Puzzle, Adventure"
3615,Wallace & Gromit in Project Zoo,2003,Frontier Developments,BAM! Entertainment,Platform
3616,Wallace & Gromits Grand Adventures,2009,Telltale Games,Telltale Games,"Point-and-click, Puzzle, Adventure"
3617,Walt Disney World Quest: Magical Racing Tour,2000,Crystal Dynamics,Eidos Interactive,Racing
3618,Wanted: Weapons of Fate,2009,GRIN,Universal Studios,Shooter
3619,War Front: Turning Point,2007,Digital Reality,CDV Software,"Real Time Strategy (RTS), Strategy"
3620,War Gods,1996,Midway Games,Midway Games,"""Hack and slash/Beat em up"", Adventure"
3621,War Wind,1996,DreamForge Intertainment,"Strategic Simulations, Inc.","Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical"
3622,War Wind II: Human Onslaught,1997,DreamForge Intertainment,"Strategic Simulations, Inc.","Real Time Strategy (RTS), Strategy"
3623,War World,2005,Third Wave Games,Third Wave Games,Simulator
3624,Warcraft II: Beyond the Dark Portal,1996,Cyberlore Studios,"Blizzard Entertainment, Ubisoft","Real Time Strategy (RTS), Strategy"
3625,Warcraft II: Tides of Darkness,1995,Blizzard Entertainment,"Blizzard Entertainment, Sierra Entertainment","Real Time Strategy (RTS), Strategy"
3626,Warcraft III: Reign of Chaos,2002,Blizzard Entertainment,"Blizzard Entertainment, Sierra Entertainment, Capcom, Sonokong","Real Time Strategy (RTS), Strategy"
3627,Warcraft III: The Frozen Throne,2003,Blizzard Entertainment,Blizzard Entertainment,"Real Time Strategy (RTS), Strategy"
3628,Warfare,2009,Dorset Multimedia,Dorset Multimedia,"Adventure, Indie"
3629,WarGames: Defcon 1,1998,Interactive Studios,"MGM Interactive, MGM/UA","Shooter, Real Time Strategy (RTS), Strategy"
3630,"Warhammer 40,000: Chaos Gate",1998,Random Games Inc.,"Strategic Simulations, Inc.","Strategy, Tactical"
3631,"Warhammer 40,000: Dawn of War",2004,Relic Entertainment,THQ,"Real Time Strategy (RTS), Strategy"
3632,"Warhammer 40,000: Dawn of War II",2009,Relic Entertainment,THQ,Strategy
3633,"Warhammer 40,000: Dawn of War II – Chaos Rising",2010,Relic Entertainment,THQ,"Real Time Strategy (RTS), Strategy"
3634,"Warhammer 40,000: Dawn of War – Dark Crusade",2006,Relic Entertainment,THQ,"Real Time Strategy (RTS), Strategy"
3635,"Warhammer 40,000: Dawn of War – Soulstorm",2008,Iron Lore Entertainment,THQ,"Real Time Strategy (RTS), Strategy"
3636,"Warhammer 40,000: Dawn of War – Winter Assault",2005,Relic Entertainment,THQ,"Real Time Strategy (RTS), Strategy"
3637,"Warhammer 40,000: Fire Warrior",2003,Kuju Entertainment,THQ,Shooter
3638,"Warhammer 40,000: Rites of War",1999,DreamForge,"Strategic Simulations, Inc.","Strategy, Turn-based strategy (TBS)"
3639,Warhammer Online: Age of Reckoning,2008,Mythic Entertainment,Electronic Arts,Role-playing (RPG)
3640,Warhammer: Dark Omen,1998,Mindscape,Electronic Arts,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Tactical"
3641,Warhammer: Mark of Chaos,2006,Black Hole Entertainment,Namco Bandai Games,"Real Time Strategy (RTS), Role-playing (RPG)"
3642,Warlords Battlecry II,2002,Strategic Studies Group,Ubisoft,"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy"
3643,Warlords Battlecry III,2004,Infinite Interactive,Enlight Software,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
3644,Warlords IV: Heroes of Etheria,2003,Infinite Interactive,Ubisoft,Strategy
3645,War Machines,2018,Wildlife,Wildlife,"Real Time Strategy (RTS), Strategy, Indie"
3646,Warm Up!,2000,Lankhor,Microids,Adventure
3647,Warpath,2006,Digital Extremes,Groove Games,"Real Time Strategy (RTS), Strategy"
3648,Warrior Kings,2002,"Black Cactus, Zonic","Microids, Aspyr Media","Shooter, Platform, Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
3649,Warrior Kings: Battles,2003,Black Cactus,Empire Interactive,Indie
3650,Warriors of Might and Magic,2000,3DO,3DO,"Role-playing (RPG), Adventure"
3651,Warriors Orochi,2007,Koei,Koei,"""Hack and slash/Beat em up"""
3652,Warsow,2009,Warsow team,Chasseur de Bots,Shooter
3653,Warzone 2100,1999,Pumpkin Studios,Eidos Interactive,"Real Time Strategy (RTS), Strategy"
3654,Wasteland Angel,2011,Octane Games,Meridian4,"Shooter, Indie"
3655,Watch Dogs,2014,Ubisoft Montreal,Ubisoft,Adventure
3656,Watchmen: The End Is Nigh,2009,Deadline Games,Warner Bros. Games,"Sport, ""Hack and slash/Beat em up"""
3657,Waterworld,1997,Intelligent Games,Interplay Entertainment,"Real Time Strategy (RTS), Strategy"
3658,Wayward Souls,2019,Rocketcat Games,Rocketcat Games,"Role-playing (RPG), Adventure, Indie, Arcade"
3659,The Weakest Link,2001,Travellers Tales,Activision,"Puzzle, Simulator, Quiz/Trivia"
3660,Wedding Dash,2007,PlayFirst,PlayFirst,"Simulator, Strategy"
3661,We Are Chicago,2017,Culture Shock Games,Culture Shock Games,Shooter
3662,We Happy Few,2018,Compulsion Games,Gearbox Publishing,Adventure
3663,Weird Worlds: Return to Infinite Space,2005,Digital Eel,Shrapnel Games,"Simulator, Strategy, Adventure, Indie"
3664,Well of Souls,1998,Dan Samuel,Independent,"Role-playing (RPG), ""Hack and slash/Beat em up"""
3665,Wetrix,1998,Zed Two,Zed Two,Puzzle
3666,"Whats New, Beelzebub?",2008,Telltale Games,Telltale Games,"Point-and-click, Adventure"
3667,The Wheel of Time,1999,Legend Entertainment,GT Interactive,"Shooter, Strategy"
3668,Wheelman,2009,Midway Studios Newcastle,Midway Games,"Racing, Simulator"
3669,The Whispered World,2009,Daedalic Entertainment,Deep Silver,"Point-and-click, Adventure, Indie"
3670,White Album,1998,Leaf,Leaf,Visual Novel
3671,White Gold: War in Paradise,2009,Deep Shadows,Russobit-M,"Shooter, Role-playing (RPG)"
3672,Who Wants to Beat Up a Millionaire?,2000,Hypnotix,Simon & Schuster Interactive,"Fighting, Quiz/Trivia"
3673,Wik and the Fable of Souls,2004,Reflexive Entertainment,Reflexive Entertainment,"Platform, Strategy, Indie"
3674,Wild Metal Country,1999,DMA Design,Gremlin Interactive,"Shooter, Strategy"
3675,Wildlife Park 2,2006,Deep Silver,B-Alive,"Simulator, Strategy, Indie"
3676,Wildlife Tycoon: Venture Africa,2005,Pocketwatch Games,"Pocketwatch Games, MumboJumbo","Simulator, Strategy, Indie"
3677,Will Rock,2003,Saber Interactive,Ubisoft,Shooter
3678,Wing Commander IV: The Price of Freedom,1996,Origin Systems,Electronic Arts,Simulator
3679,Wing Commander: Prophecy,1997,Origin Systems,Electronic Arts,"Shooter, Simulator"
3680,Wing Commander: Prophecy Special Edition,1997,Origin Systems,Electronic Arts,"Shooter, Simulator"
3681,Wing Commander: Secret Ops,1998,Origin Systems,Origin Systems,Simulator
3682,Wings of Power: WWII Heavy Bombers and Jets,2004,Shockwave Productions,TRI SYNERGY,Simulator
3683,Wings of War,2004,Silver Wish Games,Gathering of Developers,Simulator
3684,Wings Over Europe,2006,Third Wire Productions,"Destineer, Bold Games",Simulator
3685,Wings Over Israel,2008,Third Wire Productions,Third Wire Productions,Simulator
3686,Wings Over Vietnam,2004,Third Wire Productions,"Destineer, Bold Games",Simulator
3687,Winning Post 7 Maximum 2008,2008,Koei,Koei,Racing
3688,Winter Sports: The Ultimate Challenge,2007,49 Games,"Conspiracy Entertainment, RTL Games","Racing, Sport"
3689,WipEout XL,1997,Psygnosis,Psygnosis,Racing
3690,Wipeout 2097,1996,Psygnosis,Psygnosis,Racing
3691,The Witcher,2007,CD Projekt Red,Atari,"Strategy, Turn-based strategy (TBS), Quiz/Trivia, Adventure"
3692,The Witcher 3: Wild Hunt,2015,CD Projekt Red,"CD Projekt, Warner Bros. Interactive Entertainment, Bandai Namco Entertainment","Role-playing (RPG), Adventure"
3693,Wizardry 8,2001,Sir-Tech,Sir-Tech,"Role-playing (RPG), Adventure"
3694,Wizardry VII: Crusaders of the Dark Savant,2013,Sir-tech,Sir-tech,"Role-playing (RPG), Adventure"
3695,Wolfenstein,2009,Raven Software,Activision,Shooter
3696,Wolfenstein: Enemy Territory,2003,Splash Damage,Activision,Shooter
3697,Wolfenstein: The New Order,2014,Splash Damage,Activision,Shooter
3698,Wolfenstein: The Old Blood,2015,MachineGames,Bethesda Softworks,Shooter
3699,Wolfenstein II: The New Colossus,2017,MachineGames,Bethesda Softworks,Shooter
3700,WolfQuest,2008,"Minnesota Zoo, Eduweb",Eduweb,"Role-playing (RPG), Simulator"
3701,World Basketball Manager,2003,icehole,icehole,Simulator
3702,World Championship Pool 2004,2003,Blade Interactive,Jaleco,Sport
3703,World Championship Rugby,2004,Swordfish Studios,Acclaim Entertainment,Sport
3704,World Cup 98,1998,EA Canada,EA Sports,Sport
3705,World Empire IV,1996,Viable Software Alternatives,Viable Software Alternatives,Strategy
3706,World in Conflict,2007,Massive Entertainment,Ubisoft,"Fighting, Simulator"
3707,World in Conflict: Soviet Assault,2009,Massive Entertainment,Ubisoft,"Real Time Strategy (RTS), Strategy"
3708,The World of Cars Online,2009,Walt Disney Internet Group,The Walt Disney Company,Racing
3709,World of Diving,2014,Vertigo Games,Vertigo Games,"Simulator, Adventure, Indie"
3710,World of Goo,2008,2D Boy,2D Boy,"Puzzle, Simulator, Strategy, Indie"
3711,World of Padman,2007,Padworld Entertainment,Padworld Entertainment,"Shooter, Simulator, Sport"
3712,World of Warcraft,2004,Blizzard Entertainment,Blizzard Entertainment,"Role-playing (RPG), Adventure"
3713,World of Warcraft: The Burning Crusade,2007,Blizzard Entertainment,Blizzard Entertainment,Role-playing (RPG)
3714,World of Warcraft: Wrath of the Lich King,2008,Blizzard Entertainment,Blizzard Entertainment,"Role-playing (RPG), Adventure"
3715,World of Warcraft: Cataclysm,2010,Blizzard Entertainment,Blizzard Entertainment,"Role-playing (RPG), Adventure"
3716,World of Warcraft: Mists of Pandaria,2012,Blizzard Entertainment,Blizzard Entertainment,Role-playing (RPG)
3717,World of Warcraft: Warlords of Draenor,2014,Blizzard Entertainment,Blizzard Entertainment,"Role-playing (RPG), Strategy, Adventure"
3718,World of Warcraft: Legion,2016,Blizzard Entertainment,Blizzard Entertainment,"Role-playing (RPG), Adventure"
3719,World of Warcraft: Battle for Azeroth,2018,Blizzard Entertainment,Blizzard Entertainment,"Role-playing (RPG), Adventure"
3720,World of Warcraft: Shadowlands,2020,Blizzard Entertainment,Blizzard Entertainment,Role-playing (RPG)
3721,World of Zoo,2009,Blue Fang Games,THQ,Simulator
3722,World Series of Poker,2005,Left Field Productions,Activision,"Simulator, Strategy"
3723,World Series of Poker 2008: Battle for the Bracelets,2007,Left Field Productions,Activision,"Simulator, Strategy"
3724,World Series of Poker: Tournament of Champions,2006,Left Field Productions,Activision,"Sport, Strategy, Card & Board Game"
3725,World War II Combat: Iwo Jima,2006,Direct Action Games,Groove Games,Shooter
3726,World War II Combat: Road to Berlin,2006,Direct Action Games,Groove Games,Shooter
3727,World War II Online,2005,"Cornered Rat Software, Playnet Inc.",Trisynergy,"Shooter, Role-playing (RPG), Simulator, Strategy, Indie"
3728,World War II: Frontline Command,2003,Bitmap Brothers,"Deep Silver, Strategy First",Strategy
3729,World War III: Black Gold,2001,Reality Pump,JoWood,"Real Time Strategy (RTS), Strategy"
3730,WorldShift,2008,Crytek Black Sea,Playlogic International,"Real Time Strategy (RTS), Strategy"
3731,Worms 2,1997,Team17,"MicroProse, Atari","Shooter, Platform, Adventure"
3732,Worms 2: Armageddon,2009,Team17,Team17,Strategy
3733,Worms 3D,2003,Team17,"Acclaim Entertainment, Sega, Feral Software",Strategy
3734,Worms 4: Mayhem,2005,Team17,"Majesco Entertainment, Codemasters",Strategy
3735,Worms Armageddon,1999,Team17,"MicroProse, Atari","Shooter, Strategy"
3736,Worms Blast,2002,Team17,Ubisoft,"Puzzle, Strategy, Arcade"
3737,Worms Forts: Under Siege,2004,Team17,Sega,Strategy
3738,Worms World Party,2001,Team17,Titus Software,"Strategy, Indie"
3739,WSC Real 08: World Snooker Championship,2009,Blade Interactive,Koch Media,Sport
3740,WWE 2K15,2015,YukesVisual Concepts,2K Sports,"Simulator, Sport"
3741,WWE 2K16,2016,YukesVisual Concepts,2K Sports,"Simulator, Sport"
3742,WWE 2K17,2017,YukesVisual Concepts,2K Sports,"Simulator, Sport"
3743,WWE 2K18,2017,YukesVisual Concepts,2K Sports,"Simulator, Sport"
3744,WWE 2K19,2018,YukesVisual Concepts,2K Sports,"Simulator, Sport"
3745,WWE 2K20,2019,YukesVisual Concepts,2K Sports,"Simulator, Sport"
3746,WWE Raw,2002,Anchor Inc.,THQ,"Fighting, Sport"
3747,X Motor Racing,2007,Exotypos,Exotypos,"Racing, Indie, Arcade"
3748,X-Change,1997,Crowd,Peach Princess,Adventure
3749,X-Change 2,1999,Crowd,Peach Princess,Adventure
3750,X-Change 3,2004,Crowd,Peach Princess,Adventure
3751,X-COM: Apocalypse,1997,Mythos Games,Microprose,"Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS), Tactical"
3752,XCOM: Enemy Unknown,2012,Firaxis Games,Take-Two Interactive Software,"Turn-based strategy (TBS), Tactical"
3753,X-COM: Enforcer,2001,Infogrames,Infogrames,"Shooter, Strategy"
3754,X-COM: Interceptor,1998,Microprose,Microprose,"Real Time Strategy (RTS), Simulator, Strategy"
3755,X-COM: Terror from the Deep,1995,MicroProse,2K Games,"Strategy, Turn-based strategy (TBS), Tactical"
3756,Xenon Racer,2019,3DClouds,Soedesco,"Racing, Sport, Indie, Arcade"
3757,X-Files: Unrestricted Access,2002,FOX Interactive,FOX Interactive,"Puzzle, Adventure"
3758,X-Men: The Official Game,2006,"Z-Axis, Beenox, Amaze Entertainment, WayForward Technologies, Hypnos Entertainment",Activision,"""Hack and slash/Beat em up"""
3759,X-Men Legends II: Rise of Apocalypse,2005,"Raven Software, Vicarious Visions, Beenox, Barking Lizards Technologies",Activision,"Role-playing (RPG), ""Hack and slash/Beat em up"""
3760,X-Men Origins: Wolverine,2009,Raven Software,Activision,"""Hack and slash/Beat em up"", Adventure"
3761,X: Beyond the Frontier,1999,Egosoft,THQ,"Simulator, Strategy"
3762,X-Tension,2000,Egosoft,THQ,"Simulator, Strategy"
3763,X-Gold,2004,Egosoft,THQ,"Simulator, Strategy, Adventure"
3764,X2: Wolverines Revenge,2003,GenePool Software,Activision,"""Hack and slash/Beat em up"", Adventure"
3765,X2: The Threat,2003,Egosoft,"Deep Silver, Enlight","Simulator, Strategy"
3766,X3: Reunion,2005,Egosoft,"Deep Silver, Enlight, Valve","Role-playing (RPG), Simulator, Strategy"
3767,X3: Terran Conflict,2008,Egosoft,"Deep Silver, Interactive Gaming Software","Role-playing (RPG), Simulator, Strategy"
3768,XIII,2003,"Ubisoft Paris, Southend Interactive","Ubisoft, Feral Interactive","Simulator, Strategy"
3769,Xiama,2000,Mulawa Dreaming,Mulawa Dreaming,"Puzzle, Adventure"
3770,Xonotic,2010,Team Xonotic,Team Xonotic,Shooter
3771,Xpand Rally,2004,Techland,"Techland, Micro Application","Racing, Simulator, Sport"
3772,Xplosiv Top Ten,2002,Xplosiv,Xplosiv,"Racing, Simulator, Sport, Strategy"
3773,Yager,2003,Yager Entertainment,"Kemco, THQ",Shooter
3774,Yamaha Supercross,2008,"Aurona Games, Coyote Console","DSI Games, Zoo Digital Publishing","Racing, Sport"
3775,Yohoho! Puzzle Pirates,2003,Three Rings Design,"Three Rings Design, Ubisoft","Puzzle, Role-playing (RPG), Strategy, Adventure"
3776,Yokus Island Express,2018,Villa Gorilla,Team17,"Platform, Puzzle, Pinball, Adventure, Indie, Arcade"
3777,Yooka-Laylee,2017,Playtonic Games,Team17,"Platform, Adventure"
3778,You Are Empty,2006,"Mandel ArtPlains, Digital Spray Studios",1C Company,"Adventure, Indie"
3779,You Dont Know Jack,1995,"Berkeley Systems, Jellyvision",Sierra On-Line,Indie
3780,Yourself!Fitness,2004,Respondesign,Respondesign,Adventure
3781,Ys I & II Complete,2001,Nihon Falcom,Nihon Falcom,Role-playing (RPG)
3782,Ys Origin,2006,Nihon Falcom,Nihon Falcom,Role-playing (RPG)
3783,Ys: The Ark of Napishtim,2003,Nihon Falcom,Nihon Falcom,"Role-playing (RPG), Adventure"
3784,Ys: The Oath in Felghana,2005,Nihon Falcom,Nihon Falcom,Role-playing (RPG)
3785,Yu-Gi-Oh! Power of Chaos: Joey the Passion,2004,Konami,Konami,"Puzzle, Strategy, Turn-based strategy (TBS), Card & Board Game"
3786,Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge,2004,Konami,Konami,"Puzzle, Strategy, Turn-based strategy (TBS)"
3787,Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,2003,Konami,Konami,"Strategy, Turn-based strategy (TBS), Card & Board Game"
3788,Z,2014,The Bitmap Brothers,Virgin Interactive,"Real Time Strategy (RTS), Strategy"
3789,Z: Steel Soldiers,2001,Bitmap Brothers,"EON Digital Entertainment, SCi","Real Time Strategy (RTS), Strategy"
3790,ZanZarah: The Hidden Portal,2002,Funatics Development,THQ,"Role-playing (RPG), Adventure"
3791,Zap!,2005,GarageGames,GarageGames,Indie
3792,Zapper: One Wicked Cricket,2002,"Blitz Games, Atomic Planet Entertainment",Infogrames,"Platform, Adventure"
3793,Zax: The Alien Hunter,2000,Reflexive Entertainment,JoWooD Productions,Adventure
3794,Zeno Clash,2009,ACE Team,"Valve, Noviy Disk","Fighting, Shooter, ""Hack and slash/Beat em up"", Indie"
3795,Zero Critical,1999,Istvan Pely Productions,Bethesda Softworks,"Puzzle, Adventure"
3796,Zero G Arena,2016,Jonathan Wood,Jonathan Wood,Indie
3797,Zero Time Dilemma,2016,Spike Chunsoft,Aksys Games,"Puzzle, Role-playing (RPG), Strategy, Adventure, Visual Novel"
3798,ZeroRanger,2018,System Erasure,System Erasure,"Shooter, Arcade"
3799,Zeus: Master of Olympus,2000,Impressions Games,Sierra Entertainment,Real Time Strategy (RTS)
3800,Zineth,2012,Arcane Kids,Arcane Kids,Strategy
3801,Zoo Empire,2004,Enlight Software,Enlight Software,"Simulator, Strategy"
3802,Zoo Tycoon,2000,Blue Fang Games,Microsoft Game Studios,Real Time Strategy (RTS)
3803,Zoo Tycoon 2,2004,Blue Fang Games,Microsoft Game Studios,"Simulator, Strategy"
